"","Ensembl_ID","Symbol"
"508","MIMAT0004979","hsa-miR-936"
"509","MI0003622","hsa-mir-609"
"510","MIMAT0003277","hsa-miR-609"
"511","MI0016843","hsa-mir-4482"
"512","MIMAT0020958","hsa-miR-4482-3p"
"513","MIMAT0019016","hsa-miR-4482-5p"
"514","MI0017312","hsa-mir-4680"
"515","MIMAT0019764","hsa-miR-4680-5p"
"516","MIMAT0019765","hsa-miR-4680-3p"
"517","MI0006344","hsa-mir-548e"
"518","MIMAT0005874","hsa-miR-548e-3p"
"519","MIMAT0026736","hsa-miR-548e-5p"
"520","MI0022549","hsa-mir-6715b"
"521","MIMAT0025842","hsa-miR-6715b-5p"
"522","MIMAT0025843","hsa-miR-6715b-3p"
"523","MI0022548","hsa-mir-6715a"
"524","MIMAT0025841","hsa-miR-6715a-3p"
"525","MI0015822","hsa-mir-4295"
"526","MIMAT0016844","hsa-miR-4295"
"527","MI0016844","hsa-mir-4483"
"528","MIMAT0019017","hsa-miR-4483"
"529","MI0010629","hsa-mir-2110"
"530","MIMAT0010133","hsa-miR-2110"
"531","MI0039502","hsa-mir-9851"
"532","MIMAT0048639","hsa-miR-9851-5p"
"533","MIMAT0048640","hsa-miR-9851-3p"
"534","MI0016064","hsa-mir-3663"
"535","MIMAT0018084","hsa-miR-3663-5p"
"536","MIMAT0018085","hsa-miR-3663-3p"
"537","MI0017313","hsa-mir-4681"
"538","MIMAT0019766","hsa-miR-4681"
"539","MI0017314","hsa-mir-4682"
"540","MIMAT0019767","hsa-miR-4682"
"541","MI0016598","hsa-mir-3941"
"542","MIMAT0018357","hsa-miR-3941"
"543","MI0015823","hsa-mir-4296"
"544","MIMAT0016845","hsa-miR-4296"
"545","MI0016845","hsa-mir-4484"
"546","MIMAT0019018","hsa-miR-4484"
"547","MI0015824","hsa-mir-4297"
"548","MIMAT0016846","hsa-miR-4297"
"549","MI0015825","hsa-mir-378c"
"550","MIMAT0016847","hsa-miR-378c"
"551","MI0003130","hsa-mir-202"
"552","MIMAT0002810","hsa-miR-202-5p"
"553","MIMAT0002811","hsa-miR-202-3p"
"554","MI0016601","hsa-mir-3944"
"555","MIMAT0018360","hsa-miR-3944-3p"
"556","MIMAT0019231","hsa-miR-3944-5p"
"557","MI0022588","hsa-mir-6743"
"558","MIMAT0027387","hsa-miR-6743-5p"
"559","MIMAT0027388","hsa-miR-6743-3p"
"560","MI0000286","hsa-mir-210"
"561","MIMAT0000267","hsa-miR-210-3p"
"562","MIMAT0026475","hsa-miR-210-5p"
"563","MI0022589","hsa-mir-6744"
"564","MIMAT0027389","hsa-miR-6744-5p"
"565","MIMAT0027390","hsa-miR-6744-3p"
"566","MI0015830","hsa-mir-4298"
"567","MIMAT0016852","hsa-miR-4298"
"568","MI0025517","hsa-mir-7847"
"569","MIMAT0030422","hsa-miR-7847-3p"
"570","MI0005416","hsa-mir-675"
"571","MIMAT0004284","hsa-miR-675-5p"
"572","MIMAT0006790","hsa-miR-675-3p"
"573","MI0002467","hsa-mir-483"
"574","MIMAT0004761","hsa-miR-483-5p"
"575","MIMAT0002173","hsa-miR-483-3p"
"576","MI0017318","hsa-mir-4686"
"577","MIMAT0019773","hsa-miR-4686"
"578","MI0017319","hsa-mir-4687"
"579","MIMAT0019774","hsa-miR-4687-5p"
"580","MIMAT0019775","hsa-miR-4687-3p"
"581","MI0006417","hsa-mir-302e"
"582","MIMAT0005931","hsa-miR-302e"
"583","MI0019296","hsa-mir-5691"
"584","MIMAT0022483","hsa-miR-5691"
"585","MI0016846","hsa-mir-4485"
"586","MIMAT0019019","hsa-miR-4485-3p"
"587","MIMAT0032116","hsa-miR-4485-5p"
"588","MI0015829","hsa-mir-4299"
"589","MIMAT0016851","hsa-miR-4299"
"590","MI0025906","hsa-mir-8070"
"591","MIMAT0030997","hsa-miR-8070"
"592","MI0021258","hsa-mir-6124"
"593","MIMAT0024597","hsa-miR-6124"
"594","MI0020350","hsa-mir-6073"
"595","MIMAT0023698","hsa-miR-6073"
"596","MI0014188","hsa-mir-3159"
"597","MIMAT0015033","hsa-miR-3159"
"598","MI0016847","hsa-mir-4486"
"599","MIMAT0019020","hsa-miR-4486"
"600","MI0017327","hsa-mir-4694"
"601","MIMAT0019786","hsa-miR-4694-5p"
"602","MIMAT0019787","hsa-miR-4694-3p"
"603","MI0025890","hsa-mir-8054"
"604","MIMAT0030981","hsa-miR-8054"
